id,question,A,B,C,Answerkey
51,What's wrong with your leg?,My leg hurts.,I have two legs.,"Yes, it is.",A
52,Does Rita have a headache?,"No, she doesn't.",She has a sister.,She's at school.,A
53,What would you like for lunch?,I'd like some fried rice.,I'd like some shoes.,It is 12:00.,A
54,Whose watch is this?,It's my watch.,It is a clock.,I am watching TV.,A
55,Would you like some soup?,"Yes, please.","No, I'm not.",I like soup.,A
56,What's wrong with your eyes?,My eyes hurt.,I have two eyes.,They are blue.,A
57,Do you have a fever?,"Yes, I do.",It is hot.,I'm ten.,A
58,Whose umbrella is that?,It's hers.,It's raining.,It is big.,A
59,How many lions are there?,There are three lions.,I like lions.,It's a lion.,A
60,What would you like for breakfast?,I'd like some toast.,It is morning.,I'm happy.,A
61,Does he have a cold?,"Yes, he does.",He is cold.,It is winter.,A
62,Is this your marker?,"No, it isn't.",I am Terry.,It's red.,A
63,What's wrong with Terry?,His back hurts.,He is in 7th grade.,He is tall.,A
64,Would you like some salad?,"No, thank you.",I like green.,It's a salad.,A
65,Whose socks are those?,They're mine.,They are white.,I have socks.,A
66,Can you give me a hand?,No problem.,I have hands.,This is my hand.,A
67,Be careful!,"OK, I will.",I am careful.,Thank you.,A
68,Do you have a stomachache?,"Yes, I do.",My stomach is small.,I'm hungry.,A
69,What's wrong with her arm?,Her arm hurts.,She has an arm.,It is long.,A
70,Whose cap is that?,It's his.,It's a cap.,I like caps.,A
71,What day is today?,It's Monday.,It's a day.,I am nine.,A
72,Is it Saturday today?,"Yes, it is.","Yes, I am.",I like Saturday.,A
73,Do you have English class on Friday?,"No, I don't.",I like English.,It's Friday.,A
74,Does she have math class on Tuesday?,"Yes, she does.",She likes math.,It's a book.,A
75,Where are you going?,I'm going to the supermarket.,I am a boy.,It's far.,A
76,Where's the museum?,It's on Blue Street.,I'm sick.,It's big.,A
77,How many tigers are there?,There is one tiger.,I like tigers.,Tigers are fast.,A
78,Does he like zebras?,"No, he doesn't.",He is a zebra.,It's black.,A
79,What's your favorite subject?,I like art.,I'm art.,It's a class.,A
80,Are you going to the library?,"No, I'm not.",I'm a library.,It's quiet.,A
81,How many monkeys are there?,There are five monkeys.,I like monkeys.,Monkeys are funny.,A
82,Do you like elephants?,"Yes, I do.","Yes, it is.",Elephants are big.,A
83,Is it Wednesday today?,"No, it's Sunday.",I like Sunday.,"No, I'm not.",A
84,Does he have PE class today?,"No, he doesn't.",He likes PE.,It's a ball.,A
85,Where is she going?,She's going to the zoo.,She is a girl.,The zoo is fun.,A
86,Is the bookstore near the bank?,"Yes, it is.",I like books.,It's a bank.,A
87,How many bears are there?,There are two bears.,Bears are big.,I see a bear.,A
88,Does she like turtles?,"No, she doesn't.",She is a turtle.,Turtles are slow.,A
89,Follow me.,Sure.,I am a student.,You are first.,A
90,What's on the Christmas tree?,A bell.,It's a tree.,I like Christmas.,A
91,Merry Christmas!,Merry Christmas!,It's a Christmas tree.,I'm fine.,A
92,Is that a sachet?,"Yes, it is.",It's a boat.,I have a sachet.,A
93,Who is he?,He is Santa Claus.,He is red.,I like him.,A
94,What do we do on Dragon Boat Festival?,We watch the race.,We eat turkey.,We go to sleep.,A
95,Is it Friday today?,"Yes, it is.",I like Friday.,"No, I'm not.",A
96,What's wrong with your throat?,My throat hurts.,I have a throat.,It is long.,A
97,Whose markers are these?,They're his.,They are red.,I have markers.,A
98,Where is the post office?,It's on Green Street.,I like letters.,It's a post office.,A
99,Do you like science?,"No, I don't.",I'm science.,Science is hard.,A
100,How many hippos are there?,There are four hippos.,I like hippos.,Hippos are big.,A
