id,question,A,B,C,Answerkey
1,jam,jam,yam,ham,A
2,fan,fan,pan,van,A
3,dad,dad,bad,sad,A
4,bag,bag,rag,tag,A
5,tap,tap,cap,map,A
6,mat,mat,cat,bat,A
7,ram,ram,dam,yam,A
8,can,can,pan,fan,A
9,jet,jet,net,pet,A
10,hen,hen,pen,ten,A
11,red,red,bed,fed,A
12,wet,wet,web,set,A
13,egg,egg,leg,beg,A
14,net,net,get,vet,A
15,hip,hip,lip,tip,A
16,bib,bib,rib,bob,A
17,kid,kid,lid,hid,A
18,pin,pin,fin,bin,A
19,fig,fig,wig,dig,A
20,pit,pit,sit,hit,A
21,six,six,mix,fix,A
22,bin,bin,win,pin,A
23,pig,pig,wig,fig,A
24,fox,fox,box,pox,A
25,log,log,dog,fog,A
26,pot,pot,hot,dot,A
27,top,top,mop,hop,A
28,rod,rod,rob,red,A
29,sun,sun,run,bun,A
30,jug,jug,mug,bug,A
31,bud,bud,mud,bad,A
32,cup,cup,cap,pup,A
33,nut,nut,cut,net,A
34,tub,tub,rub,sub,A
35,I like jam.,jam,jet,ram,A
36,The cat is on the mat.,mat,map,met,A
37,Look at the red bed.,red,rod,fed,A
38,It is a big pin.,pin,pan,pen,A
39,The sun is hot.,hot,hop,hit,A
40,Go to the tub.,tub,ten,tab,A
41,The bug is in the mug.,mug,mad,rug,A
42,Pick up the cup.,cup,cap,cut,A
43,I have ten pens.,pens,pans,pins,A
44,The fox is in the box.,fox,fix,ox,A
45,The lid is for the kid.,lid,lip,lad,A
46,A wet net is there.,wet,web,wed,A
47,Six pigs are big.,six,mix,fix,A
48,The dog is on the log.,dog,leg,lug,A
49,The jet is fast.,jet,net,wet,A
50,A fat yak is here.,yak,yam,yes,A
